TT,Loại giao dịch,Phạm vi thanh toán,Hướng dẫn thanh toán
1,Giao dịch nạp cước điện thoại trả trước,"Nạp cước trả trước các nhà mạng Viettel, Mobifone, Vinaphone, Vietnammobile","- Bước 1: Mở ứng dụng, vào mục Cước viễn thông, thẻ cào → Nạp cước điện thoại.
- Bước 2: Nhập số điện thoại và mệnh giá → Bấm Tiếp tục → Kiểm tra thông tin → Bấm Xác nhận nạp tiền.
- Bước 3: Chọn nguồn tiền, nhập mã PIN để hoàn tất giao dịch.
Xem video hướng dẫn tại đây: https://youtu.be/cLajESloVyM?si=a8whwBQN6qPz1nlM"
2,Giao dịch nạp cước điện thoại trả sau,Nạp cước trả sau ,"- Bước 1: Mở ứng dụng, vào mục Cước viễn thông, thẻ cào → chọn Nạp cước điện thoại
- Bước 2: Nhập số điện thoại, chọn mệnh giá hoặc nhập trực tiếp số tiền cần thanh toán hoặc chọn “Toàn bộ nợ cước” → bấm Tiếp tục → kiểm tra thông tin → bấm Xác nhận
- Bước 3: Chọn nguồn tiền, nhập mã PIN để hoàn tất thanh toán.
Xem video hướng dẫn tại đây: https://www.youtube.com/watch?v=KHe--A8q_cU"
3,Giao dịch mua thẻ cào đa mạng,"Mua thẻ cào đa mạng thuộc các nhà mạng: Viettel, Vinaphone, Mobifone, Vietnammobile","Bước 1: Mở ứng dụng, vào mục Cước viễn thông, thẻ cào → chọn Mua thẻ cào → chọn nhà mạng.
Bước 2: Chọn mệnh giá thẻ, nhập số điện thoại nhận mã thẻ, sau đó bấm Thanh toán.
Bước 3: Nhập mật khẩu để hoàn tất giao dịch, Mã thẻ sẽ được gửi qua tin nhắn từ đầu số VTMONEY đến số điện thoại nhận tin nhắn.
Xem video hướng dẫn tại đây: https://www.youtube.com/watch?v=yk_T_UWY-18"
4,Giao dịch mua thẻ game,"Giao dịch mua thẻ game của các Nhà cung cấp như: 
-Thẻ SOHACoin
- Thẻ VGP
- Thẻ Appota
- Thẻ Scoin
- Thẻ Funtap
- Thẻ VCoin
- Thẻ Zing
- Thẻ Garena","-Bước 1: Mở ứng dụng, vào mục Cước viễn thông, thẻ cào → chọn Thẻ Game → chọn nhà cung cấp
-Bước 2: Chọn mệnh giá thẻ, nhập số điện thoại nhận mã, sau đó bấm Thanh toán, hệ thống hiển thị màn hình xác nhận
-Bước 3: Nhập mật khẩu  + OTP để hoàn tất giao dịch, Mã thẻ game sẽ được gửi qua tin nhắn từ đầu số VTMONEY đến số điện thoại nhận tin nhắn.
Xem video hướng dẫn tại đây: https//youtu.be/i8GcrPlRaUs"
5,Giao dịch thanh toán truyền hình,"Thanh toán cước truyền hình Viettel
","-Bước 1: Truy cập ứng dụng, vào mục Dịch vụ khác/Truyền hình → chọn Truyền hình Viettel
-Bước 2: Nhập mã Account, sau đó bấm Tra cước hoặc nhập số tiền → bấm Kiểm tra & xác nhận thông tin.
-Bước 3: Chọn nguồn tiền thanh toán, nhập mã PIN của nguồn tiền thanh toán để hoàn tất giao dịch.
Xem video hướng dẫn tại đây: https://youtu.be/QIp8mirUsF0?si=Mp3Z20e2OjEBXb9e"
6,Giao dịch thanh toán Cố định,"Thanh toán cước homephone, điện thoại cố định mạng Viettel","-Bước 1: Truy cập mục Dịch vụ khác → Cố định → chọn Homephone Viettel hoặc Điện thoại cố định có dây.
-Bước 2: Nhập số thuê bao → Bấm Tra cước hoặc nhập số tiền, sau đó bấm Kiểm tra & xác nhận thông tin.
-Bước 3: Chọn nguồn tiền thanh toán, nhập mã PIN của nguồn tiền thanh toán để hoàn tất giao dịch."
7,Giao dịch thanh toán Internet,Thanh toán cước dịch vụ Internet Viettel,"- Bước 1: Vào mục Dịch vụ khác → Internet → chọn Internet Viettel.
- Bước 2: Nhập mã Account, bấm Tra cước hoặc nhập số tiền, sau đó chọn Kiểm tra & xác nhận thông tin.
- Bước 3: Nhấn thay đổi nguồn tiền thanh toán (nếu cần) -→sau đó nhập mã PIN nguồn tiền liên kết để hoàn thành giao dịch.
Xem video hướng dẫn tại đây: https://youtu.be/I6KRbsVbtGs?si=XiZWoE3u7ajd7wYa"
8,Giao dịch thanh toán truyền hình,Thanh toán cước dịch vụ truyền hình Viettel,"- Bước 1: Vào mục Dịch vụ khác → Truyền hình→ chọn truyền hình Viettel.
- Bước 2: Nhập mã Account, bấm Tra cước hoặc nhập số tiền, sau đó chọn Kiểm tra & xác nhận thông tin.
- Bước 3: Nhấn thay đổi nguồn tiền thanh toán (nếu cần) -→sau đó nhập mã PIN nguồn tiền liên kết để hoàn thành giao dịch.
Xem video hướng dẫn tại đây: https://www.youtube.com/watch?v=QIp8mirUsF0 "
9,Gạch nợ/đóng trước cước dịch vụ cố định Viettel,Thanh toán trước cước internet/truyền hình Viettel,"-Bước 1: Truy cập Dịch vụ khác > Gạch nợ/Đóng trước cước Viettel.
-Bước 2: Chọn loại tra cứu (Số điện thoại/CMT/Mã hợp đồng/Mã Account), nhập thông tin → bấm Tra cứu.
-Bước 3: Tại màn hình thông tin hợp đồng, chọn dịch vụ và số tháng muốn đóng trước → bấm Tiếp tục, sau đó nhập mã PIN để xác nhận thanh toán.
Xem video hướng dẫn tại đây: https://youtu.be/T2l4hAKLz1E"
10,Gạch nợ thuê bao cắt hủy,"Cho phép người dùng được thực hiện gạch nợ cho các hợp đồng Viettel đã cắt hủy
","-Bước 1: Truy cập Dịch vụ khác > Dịch vụ khác > Gạch nợ thuê bao cắt hủy
-Bước 2: Nhập số thuê bao/tài khoản, bấm Kiểm tra → hệ thống hiển thị danh sách hợp đồng để chọn gạch nợ.
Lưu ý: Có thể chọn thanh toán toàn bộ nợ cước hoặc nhập số tiền khác để thanh toán theo nhu cầu
-Bước 3: Chọn nguồn tiền thanh toán, nhập mã PIN của nguồn tiền thanh toán để hoàn tất giao dịch."
11,Giao dịch mua thẻ game,Lấy lại mã thẻ game cho giao dịch mua thẻ game thành công,"1. Vào mục “Lịch sử”.
2. Tìm kiếm giao dịch cần gửi lại mã.
3. Bấm “Gửi lại mã thẻ”.
4. Ứng dụng sẽ hiển thị:
- Mã thẻ cào và seri thẻ, bạn có thể cung cấp trực tiếp cho khách hàng.
- Hoặc nhấn “Nhắn tin mã thẻ” để hệ thống gửi tin nhắn mã thẻ về số điện thoại khách hàng.
Xem video hướng dẫn tại đây: https://youtu.be/xVKqViH35Q0 "
12,Giao dịch mua thẻ cào,Lấy lại mã thẻ cào viễn thông cho giao dịch mua thẻ cào thành công,"1. Vào mục “Lịch sử”.
2. Tìm kiếm giao dịch cần gửi lại mã.
3. Bấm “Gửi lại mã thẻ”.
4. Ứng dụng sẽ hiển thị:
- Mã thẻ cào và seri thẻ, bạn có thể cung cấp trực tiếp cho khách hàng.
- Hoặc nhấn “Nhắn tin mã thẻ” để hệ thống gửi tin nhắn mã thẻ về số điện thoại khách hàng.
Xem video hướng dẫn tại đây: https://youtu.be/gDCvqYJoRxs "
