TT,Mã lỗi,Câu báo lỗi/yêu cầu hỗ trợ,Nghiệp vụ,Nguyên nhân,Trạng thái giao dịch,Hướng khắc phục
1,606,He thong dang nang cap bao duong( 606),Nạp cước điện thoại trả trước (topup) đa mạng,Hệ thống nâng cấp,Thất bại- Không bị trừ tiền,"- Với câu báo lỗi này do hệ thống đang trong thời gian bảo trì. Anh/chị truy cập ứng dụng mục “Thông báo” để nắm thời gian bảo trì và thực hiện lại giao dịch sau thời gian bảo trì.
- Trường hợp không có thông tin về thời gian bảo trì, Anh/chị vui lòng gửi yêu cầu hỗ trợ ngay trên ứng dụng ViettelPay Pro. "
2,606,He thong dang nang cap bao duong( 606),Mua thẻ cào đa mạng,Hệ thống nâng cấp,Thất bại- Không bị trừ tiền,"- Với câu báo lỗi này do hệ thống đang trong thời gian bảo trì. Anh/chị truy cập ứng dụng mục “Thông báo” để nắm thời gian bảo trì và thực hiện lại giao dịch sau thời gian bảo trì.
- Trường hợp không có thông tin về thời gian bảo trì, Anh/chị vui lòng gửi yêu cầu hỗ trợ ngay trên ứng dụng ViettelPay Pro."
3,606,He thong dang nang cap bao duong( 606),Thanh toán cước điện thoại trả sau đa mạng,Hệ thống nâng cấp,Thất bại- Không bị trừ tiền,"- Với câu báo lỗi này do hệ thống đang trong thời gian bảo trì. Anh/chị truy cập ứng dụng mục “Thông báo” để nắm thời gian bảo trì và thực hiện lại giao dịch sau thời gian bảo trì.
- Trường hợp không có thông tin về thời gian bảo trì, Anh/chị vui lòng gửi yêu cầu hỗ trợ ngay trên ứng dụng ViettelPay Pro."
4,606,He thong dang nang cap bao duong( 606),"Thanh toán cước internet, truyền hình Viettel",Hệ thống nâng cấp,Thất bại- Không bị trừ tiền,"- Với câu báo lỗi này do hệ thống đang trong thời gian bảo trì. Anh/chị truy cập ứng dụng mục “Thông báo” để nắm thời gian bảo trì và thực hiện lại giao dịch sau thời gian bảo trì.
- Trường hợp không có thông tin về thời gian bảo trì, Anh/chị vui lòng gửi yêu cầu hỗ trợ ngay trên ứng dụng ViettelPay Pro."
5,606,He thong dang nang cap bao duong( 606),"Thanh toán cước đóng trước internet, truyền hình Viettel",Hệ thống nâng cấp,Thất bại- Không bị trừ tiền,"- Với câu báo lỗi này do hệ thống đang trong thời gian bảo trì. Anh/chị truy cập ứng dụng mục “Thông báo” để nắm thời gian bảo trì và thực hiện lại giao dịch sau thời gian bảo trì.
- Trường hợp không có thông tin về thời gian bảo trì, Anh/chị vui lòng gửi yêu cầu hỗ trợ ngay trên ứng dụng ViettelPay Pro."
6,"W02
W04
32
605
650
null","-Giao dịch đang được xử lý
-Kết quả giao dịch chưa xác định
-Giao dich timeout, khong nhan duoc phan hoi cuoi tu BCCS( 605)
-Giao dich timeout tai ngan hang( 32","Thanh toán cước, pincode, mua thẻ cào Viettel",Do lỗi hệ thống,Chưa xác định kết quả cuối-Đã bị trừ tiền,"- Trường hợp này do: Giao dịch đang bị time out (bị treo) chưa xác định kết quả thành công hay thất bại.
-Hướng xử lý: 
+KHÔNG thực hiện thêm giao dịch khác
+KHÔNG hoàn trả lại tiền cho Khách hàng (KH) yêu cầu
+THUYẾT PHỤC KH chờ kết quả đối soát kết quả giao dịch, thời gian có kết quả đối soát là ngày T+1 (T là ngày thực hiện giao dịch).
-Lưu ý: 
+ Nên báo khách hàng thụ hưởng kiểm tra tài khoản, tin nhắn trả về mã thẻ cào vì có thể hệ thống cập nhật kết quả cho giao dịch trên app chậm nhưng thực tế người nhận đã nhận được tiền.
+ Chủ động tra soát kết quả cuối giao dịch ngay tại mục “lịch sử” trên app ViettelPay Pro.
+ Gửi yêu cầu hỗ trợ ngay trên ứng dụng ViettelPay Pro khi khách hàng gay gắt/không đồng ý chờ kết quả đối soát."
7,"W02
W04
32
605
650
null","-Giao dịch đang được xử lý
-Kết quả giao dịch chưa xác định","Thanh toán cước, pincode, mua thẻ cào ngoài mạng Viettel (Vinafone, Mobiphone, Vietnammobile)",Do lỗi hệ thống,Chưa xác định kết quả cuối-Đã bị trừ tiền,"- Trường hợp này do: Giao dịch đang bị time out (bị treo) chưa xác định kết quả thành công hay thất bại.
-Hướng xử lý: 
+KHÔNG thực hiện thêm giao dịch khác
+KHÔNG hoàn trả lại tiền cho Khách hàng (KH) yêu cầu
+THUYẾT PHỤC KH chờ kết quả đối soát kết quả giao dịch, thời gian có kết quả đối soát là ngày T+1 (T là ngày thực hiện giao dịch).
-Lưu ý: 
+ Nên báo khách hàng thụ hưởng kiểm tra tài khoản, tin nhắn trả về mã thẻ cào vì một số trường hợp mặc dù giao dịch báo ""đang xử lý có kết quả thành công ngay sau đó.
+ Gửi yêu cầu hỗ trợ ngay trên ứng dụng ViettelPay Pro khi khách hàng gay gắt/không đồng ý chờ kết quả đối soát."
8,"W02
W04
32
605
650
null","-Giao dịch đang được xử lý
-Kết quả giao dịch chưa xác định",Mua thẻ Game,Do lỗi hệ thống,Chưa xác định kết quả cuối-Đã bị trừ tiền,"- Trường hợp này do: Giao dịch đang bị time out (bị treo) chưa xác định kết quả thành công hay thất bại.
-Hướng xử lý: 
+KHÔNG thực hiện thêm giao dịch khác
+KHÔNG hoàn trả lại tiền cho Khách hàng (KH) yêu cầu
+THUYẾT PHỤC KH chờ kết quả đối soát kết quả giao dịch, thời gian có kết quả đối soát là ngày T+1 (T là ngày thực hiện giao dịch).
-Lưu ý: 
+ Nên báo khách hàng thụ hưởng kiểm tra tin nhắn trả về mã thẻ cào vì một số trường hợp mặc dù giao dịch báo ""đang xử lý có kết quả thành công ngay sau đó.
+ Gửi yêu cầu hỗ trợ ngay trên ứng dụng ViettelPay Pro khi khách hàng gay gắt/không đồng ý chờ kết quả đối soát."
9,974,Giao dich khong thanh cong. Quy khach thuc hien lai sau.( 974),Mua thẻ Game,Do lỗi hệ thống,Thất bại- Không bị trừ tiền,"-Trường hợp này có thể THANH TOÁN LẠI vì giao dịch thất bại không bị trừ tiền (nếu hệ thống trừ tiền thì sẽ hoàn lại ngay sau đó).
-Nếu thanh toán lại vẫn không thành công. Vui lòng truy cập mục“Thông báo” để kiểm tra dịch vụ có đang trong thời gian bảo trì/nâng cấp hay không?
- Trường hợp không có thông tin về thời gian bảo trì, Anh/chị vui lòng gửi yêu cầu hỗ trợ ngay trên ứng dụng ViettelPay Pro."
10,974,Giao dich khong thanh cong. Quy khach thuc hien lai sau.( 974),Thanh toán cước trong và ngoài mạng Viettel,"-Thuê bao chuyển mạng giữ số, tuy nhiên các nhà mạng chưa đồng bộ dữ liệu.
-Do lỗi hệ thống",Thất bại- Không bị trừ tiền,"- Trường hợp này do: Đa số do thuê bao chuyển mạng giữ số nhưng nhà mạng chưa đồng bộ.
-Hướng xử lý:
1. Xác nhận với chủ thuê bao xem có chuyển mạng giữ số không:
-Nếu chuyển vào Viettel → Gửi yêu cầu hỗ trợ qua ViettelPay Pro.
- Nếu chuyển ra khỏi Viettel → Hướng dẫn khách hàng liên hệ tổng đài nhà mạng mới.
2. Nếu không do chuyển mạng giữ số, truy cập ViettelPay Pro → mục “Thông báo” để kiểm tra thời gian nâng cấp hệ thống và thực hiện lại sau.
3. Nếu không có thông báo nâng cấp, Anh/chị gửi yêu cầu hỗ trợ trên ứng dụng ViettelPay Pro."
